Name	Index Year	Overall Score	Business Freedom	Trade Freedom	Fiscal Freedom	Government Spending	Monetary Freedom	Investment Freedom	Financial Freedom	Property Rights	Freedom From Corruption	Labor Freedom
Djibouti	2003	55,7	55,0	51,0	80,1	67,9	87,0	50,0	50,0	30,0	30,0	N/A
Dominica	2003	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Dominican Republic	2003	57,8	55,0	53,4	85,3	93,5	71,7	50,0	50,0	30,0	31,0	N/A
Ecuador	2003	54,1	55,0	62,8	86,3	85,7	43,8	50,0	50,0	30,0	23,0	N/A
Egypt	2003	55,3	55,0	57,6	66,1	72,8	80,1	50,0	30,0	50,0	36,0	N/A
"El Salvador "	2003	71,5	85,0	72,0	83,7	93,1	83,8	70,0	70,0	50,0	36,0	N/A
Equatorial Guinea	2003	53,1	55,0	48,2	89,7	96,7	68,2	50,0	30,0	30,0	10,0	N/A
Eritrea	2003	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Estonia	2003	77,7	85,0	84,2	80,4	58,3	85,7	90,0	90,0	70,0	56,0	N/A
Ethiopia	2003	48,8	55,0	48,8	69,9	67,1	76,5	30,0	30,0	30,0	32,0	N/A
Fiji	2003	54,7	70,0	33,8	75,4	74,4	78,5	30,0	70,0	30,0	30,0	N/A
Finland	2003	73,7	85,0	81,4	54,9	28,0	84,7	70,0	70,0	90,0	99,0	N/A
France	2003	59,2	70,0	81,4	41,3	15,7	87,0	50,0	50,0	70,0	67,0	N/A
Gabon	2003	58,7	55,0	48,2	56,4	85,7	82,6	50,0	50,0	50,0	50,0	N/A
Georgia	2003	58,6	55,0	64,8	90,6	88,9	74,8	50,0	50,0	30,0	23,0	N/A
Germany	2003	69,7	70,0	81,4	55,7	30,0	86,6	90,0	50,0	90,0	74,0	N/A
Ghana	2003	58,2	70,0	62,6	74,5	77,0	55,8	50,0	50,0	50,0	34,0	N/A
Greece	2003	58,8	70,0	81,4	57,2	50,3	78,5	50,0	50,0	50,0	42,0	N/A
"Guatemala "	2003	62,3	55,0	73,4	79,8	95,5	78,3	50,0	70,0	30,0	29,0	N/A
Guinea	2003	54,6	55,0	19,0	71,2	91,6	79,9	50,0	70,0	30,0	25,0	N/A
Guinea-Bissau	2003	43,1	40,0	61,0	82,5	47,3	77,2	50,0	10,0	10,0	10,0	N/A
Guyana	2003	50,3	55,0	66,8	60,3	7,9	82,4	50,0	50,0	50,0	30,0	N/A
Haiti	2003	50,6	40,0	73,2	78,4	96,7	66,7	30,0	50,0	10,0	10,0	N/A
"Honduras "	2003	60,4	55,0	68,4	84,8	83,6	74,8	50,0	50,0	50,0	27,0	N/A
Hong Kong	2003	89,8	100,0	90,0	93,6	90,2	85,5	90,0	90,0	90,0	79,0	N/A
"Hungary "	2003	63,0	70,0	76,0	65,6	22,3	70,6	70,0	70,0	70,0	53,0	N/A
Iceland	2003	73,5	85,0	77,8	69,0	43,0	84,7	70,0	50,0	90,0	92,0	N/A
India	2003	51,2	55,0	23,0	76,6	71,9	77,6	50,0	30,0	50,0	27,0	N/A
Indonesia	2003	55,8	55,0	74,6	77,5	91,1	74,6	50,0	30,0	30,0	19,0	N/A
Iran	2003	43,2	40,0	72,8	64,2	89,6	62,3	30,0	10,0	10,0	10,0	N/A
Iraq	2003	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Ireland	2003	80,9	85,0	81,4	69,4	66,3	81,2	90,0	90,0	90,0	75,0	N/A
Israel	2003	62,7	70,0	77,0	52,7	10,9	87,3	70,0	50,0	70,0	76,0	N/A
Italy	2003	64,3	70,0	81,4	48,0	29,4	84,7	70,0	70,0	70,0	55,0	N/A
"Jamaica "	2003	67,0	70,0	65,8	75,6	65,3	78,0	90,0	70,0	50,0	38,0	N/A
Japan	2003	67,6	70,0	81,0	70,3	56,7	89,8	50,0	50,0	70,0	71,0	N/A
Jordan	2003	65,3	70,0	47,2	78,9	64,9	87,4	70,0	70,0	50,0	49,0	N/A
Kazakhstan	2003	52,3	55,0	65,0	77,9	85,2	70,4	30,0	30,0	30,0	27,0	N/A
Kenya	2003	58,6	55,0	60,2	78,1	85,2	78,6	50,0	50,0	50,0	20,0	N/A
Kiribati	2003	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Kuwait	2003	66,7	70,0	80,2	99,9	48,8	81,6	30,0	50,0	70,0	70,0	N/A
"Kyrgyz Republic "	2003	56,8	55,0	69,4	76,5	90,3	67,6	50,0	50,0	30,0	22,0	N/A
Laos	2003	41,0	40,0	55,6	70,6	87,9	55,0	30,0	10,0	10,0	10,0	N/A
Latvia	2003	66,0	70,0	78,6	78,3	58,0	84,9	70,0	70,0	50,0	34,0	N/A
Lebanon	2003	56,7	55,0	46,8	92,4	65,1	91,3	50,0	70,0	30,0	10,0	N/A
Lesotho	2003	52,0	55,0	68,0	66,2	25,3	73,4	50,0	50,0	50,0	30,0	N/A
Liberia	2003	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Libya	2003	34,6	40,0	42,4	53,0	72,1	64,1	10,0	10,0	10,0	10,0	N/A
Liechtenstein	2003	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Lithuania	2003	69,7	70,0	80,4	78,8	71,5	88,1	70,0	70,0	50,0	48,0	N/A
Luxembourg	2003	79,9	85,0	81,4	59,8	51,5	84,7	90,0	90,0	90,0	87,0	N/A
Macau	2003	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Macedonia	2003	60,1	55,0	56,0	80,3	85,7	80,9	50,0	70,0	30,0	33,0	N/A
Madagascar	2003	62,8	70,0	74,6	74,2	90,2	76,6	50,0	50,0	50,0	30,0	N/A
Malawi	2003	53,2	55,0	62,0	72,6	70,0	57,5	50,0	30,0	50,0	32,0	N/A
"Malaysia "	2003	61,1	70,0	73,0	81,8	82,9	82,1	30,0	30,0	50,0	50,0	N/A
Maldives	2003	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Mali	2003	58,6	70,0	61,0	70,1	83,0	83,7	50,0	50,0	50,0	10,0	N/A
Malta	2003	61,1	85,0	65,0	63,5	36,8	79,8	50,0	50,0	90,0	30,0	N/A
Mauritania	2003	59,0	55,0	65,0	61,3	72,5	76,9	70,0	70,0	30,0	30,0	N/A
Mauritius	2003	64,4	70,0	37,4	84,9	81,5	70,5	50,0	70,0	70,0	45,0	N/A
Mexico	2003	65,3	70,0	81,0	68,3	84,7	77,0	50,0	70,0	50,0	37,0	N/A
Micronesia	2003	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Moldova	2003	60,0	55,0	80,4	81,3	78,6	63,4	50,0	50,0	50,0	31,0	N/A
Mongolia	2003	57,7	55,0	75,0	61,8	50,8	83,7	50,0	50,0	50,0	43,0	N/A
Montenegro	2003	43,5	40,0	68,4	79,8	89,2	34,2	10,0	30,0	30,0	10,0	N/A
Morocco	2003	57,8	70,0	33,4	62,5	67,9	88,9	70,0	50,0	30,0	47,0	N/A
"Mozambique "	2003	58,6	55,0	50,2	82,4	77,6	70,6	70,0	70,0	30,0	22,0	N/A
Namibia	2003	67,3	70,0	68,0	65,7	62,0	75,8	70,0	70,0	70,0	54,0	N/A
Nepal	2003	51,5	55,0	49,6	88,8	90,9	79,4	30,0	30,0	30,0	10,0	N/A
New Zealand	2003	81,1	85,0	80,4	62,4	53,0	85,3	90,0	90,0	90,0	94,0	N/A
"Nicaragua "	2003	62,6	55,0	79,2	81,8	82,3	71,3	70,0	70,0	30,0	24,0	N/A
Niger	2003	54,2	55,0	61,0	61,0	92,1	78,7	50,0	50,0	30,0	10,0	N/A
Nigeria	2003	49,5	55,0	45,0	84,2	75,8	65,4	50,0	30,0	30,0	10,0	N/A
North Korea	2003	8,9	40,0	0,0	0,0	0,0	0,0	10,0	10,0	10,0	10,0	N/A
Norway	2003	67,2	70,0	82,8	50,9	41,4	84,1	50,0	50,0	90,0	86,0	N/A
Oman	2003	64,6	70,0	75,6	98,5	33,7	83,8	50,0	50,0	50,0	70,0	N/A
"Pakistan "	2003	55,0	70,0	44,2	65,8	83,9	78,1	50,0	50,0	30,0	23,0	N/A
"Panama "	2003	68,4	70,0	69,4	81,1	78,3	89,9	70,0	90,0	30,0	37,0	N/A
Papua New Guinea	2003	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
"Paraguay "	2003	58,2	55,0	64,0	89,8	92,8	72,5	50,0	50,0	30,0	20,0	N/A
Peru	2003	64,6	55,0	59,8	81,6	88,8	84,8	70,0	70,0	30,0	41,0	N/A
Poland	2003	61,8	70,0	70,2	65,6	46,1	73,5	50,0	70,0	70,0	41,0	N/A
Portugal	2003	64,9	70,0	81,4	61,8	35,7	82,6	70,0	50,0	70,0	63,0	N/A
Qatar	2003	65,9	55,0	73,0	87,5	70,2	87,1	50,0	50,0	50,0	70,0	N/A
"Republic of Congo "	2003	47,7	55,0	48,2	58,8	80,5	86,7	30,0	30,0	30,0	10,0	N/A
Romania	2003	50,6	55,0	60,2	69,1	62,4	50,8	50,0	50,0	30,0	28,0	N/A
Russia	2003	50,8	55,0	57,4	90,6	64,5	57,0	50,0	30,0	30,0	23,0	N/A
Rwanda	2003	47,8	40,0	34,0	67,0	89,5	79,3	30,0	50,0	30,0	10,0	N/A
Saint Lucia	2003	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Saint Vincent and the Grenadines	2003	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Samoa	2003	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
"São Tomé and Príncipe "	2003	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Saudi Arabia	2003	63,2	70,0	64,4	99,4	66,7	88,3	50,0	30,0	50,0	50,0	N/A
Senegal	2003	58,1	55,0	61,0	59,8	88,0	80,4	50,0	50,0	50,0	29,0	N/A
"Serbia "	2003	43,5	40,0	68,4	79,8	89,2	34,2	10,0	30,0	30,0	10,0	N/A
Seychelles	2003	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Sierra Leone	2003	42,2	40,0	31,8	70,6	75,3	81,9	30,0	30,0	10,0	10,0	N/A
Singapore	2003	88,2	100,0	85,0	87,8	90,2	88,6	90,0	70,0	90,0	92,0	N/A
Slovakia	2003	59,0	70,0	72,8	67,5	22,3	71,3	70,0	70,0	50,0	37,0	N/A
Slovenia	2003	57,7	85,0	62,2	53,1	40,6	76,7	50,0	50,0	50,0	52,0	N/A
Solomon Islands	2003	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
South Africa	2003	67,1	70,0	68,0	68,0	80,0	80,1	70,0	70,0	50,0	48,0	N/A
South Korea	2003	68,3	70,0	73,2	74,2	81,8	83,4	70,0	50,0	70,0	42,0	N/A
Spain	2003	68,8	70,0	81,4	52,6	52,2	83,3	70,0	70,0	70,0	70,0	N/A
Sri Lanka	2003	62,5	70,0	70,2	73,4	80,3	68,6	50,0	50,0	50,0	50,0	N/A
Sudan	2003	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Suriname	2003	46,9	55,0	66,8	67,3	48,1	45,4	50,0	30,0	50,0	10,0	N/A
Swaziland	2003	59,6	70,0	68,0	73,5	72,5	72,9	50,0	50,0	50,0	30,0	N/A
Sweden	2003	70,0	70,0	81,4	29,8	2,9	86,4	90,0	90,0	90,0	90,0	N/A
Switzerland	2003	79,0	70,0	83,0	80,4	55,3	88,3	70,0	90,0	90,0	84,0	N/A
Syria	2003	41,3	55,0	15,0	75,8	71,0	75,1	30,0	10,0	30,0	10,0	N/A
Taiwan	2003	71,7	70,0	77,2	76,1	81,3	91,3	50,0	70,0	70,0	59,0	N/A
Tajikistan	2003	46,5	55,0	69,0	74,0	94,0	46,9	30,0	10,0	30,0	10,0	N/A
Tanzania	2003	56,9	55,0	56,6	80,9	92,2	75,1	50,0	50,0	30,0	22,0	N/A
"Thailand "	2003	65,8	70,0	64,8	75,2	93,1	87,3	50,0	50,0	70,0	32,0	N/A
The Bahamas	2003	73,5	100,0	15,0	96,9	88,8	80,4	50,0	70,0	90,0	70,0	N/A
The Gambia	2003	56,3	55,0	55,4	72,9	85,3	78,1	50,0	50,0	50,0	10,0	N/A
The Netherlands	2003	74,6	70,0	81,4	44,1	35,4	82,8	90,0	90,0	90,0	88,0	N/A
The Philippines	2003	61,3	55,0	77,4	77,6	88,6	74,5	50,0	50,0	50,0	29,0	N/A
Timor-Leste	2003	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Togo	2003	46,8	40,0	61,0	52,3	88,9	78,9	30,0	30,0	30,0	10,0	N/A
Tonga	2003	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Trinidad and Tobago	2003	68,8	70,0	51,0	72,4	81,8	81,1	70,0	70,0	70,0	53,0	N/A
Tunisia	2003	58,1	70,0	27,4	68,8	67,9	85,4	50,0	50,0	50,0	53,0	N/A
Turkey	2003	51,9	55,0	73,6	64,6	45,0	42,9	50,0	50,0	50,0	36,0	N/A
Turkmenistan	2003	51,3	55,0	85,0	90,1	88,7	63,3	30,0	10,0	30,0	10,0	N/A
Uganda	2003	60,1	55,0	72,8	80,9	78,5	84,8	50,0	50,0	50,0	19,0	N/A
Ukraine	2003	51,1	55,0	74,6	67,1	68,1	64,0	30,0	50,0	30,0	21,0	N/A
United Arab Emirates	2003	73,4	70,0	77,0	99,9	68,1	85,2	50,0	50,0	70,0	90,0	N/A
United Kingdom	2003	77,5	85,0	81,4	60,9	51,0	85,9	70,0	90,0	90,0	83,0	N/A
United States	2003	78,2	85,0	81,4	63,5	63,5	84,2	70,0	90,0	90,0	76,0	N/A
"Uruguay "	2003	69,8	70,0	59,0	87,0	70,2	81,4	70,0	70,0	70,0	51,0	N/A
Uzbekistan	2003	38,3	40,0	22,0	72,0	72,6	41,3	30,0	10,0	30,0	27,0	N/A
Vanuatu	2003	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
"Venezuela "	2003	54,8	55,0	58,2	75,0	86,3	61,0	50,0	50,0	30,0	28,0	N/A
Vietnam	2003	46,2	40,0	47,6	62,5	83,0	86,5	30,0	30,0	10,0	26,0	N/A
Yemen	2003	50,3	55,0	70,2	75,0	63,5	68,7	50,0	30,0	30,0	10,0	N/A
Zambia	2003	55,3	55,0	58,8	75,1	72,8	59,6	50,0	50,0	50,0	26,0	N/A
Zimbabwe	2003	36,7	55,0	52,2	68,1	63,5	32,9	10,0	10,0	10,0	29,0	N/A
Afghanistan	2002	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Albania	2002	56,8	55,0	63,4	79,2	67,3	86,0	70,0	50,0	30,0	10,0	N/A
Algeria	2002	61,0	70,0	60,0	65,0	71,2	82,8	70,0	50,0	30,0	50,0	N/A
Angola	2002	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Argentina	2002	65,7	70,0	53,0	72,4	76,5	94,3	70,0	70,0	50,0	35,0	N/A
Armenia	2002	68,0	55,0	81,4	88,3	81,3	91,1	70,0	70,0	50,0	25,0	N/A
Australia	2002	77,3	85,0	77,4	56,4	61,1	83,3	70,0	90,0	90,0	83,0	N/A
Austria	2002	67,4	70,0	79,6	44,5	18,9	86,4	70,0	70,0	90,0	77,0	N/A
Azerbaijan	2002	53,3	55,0	74,4	78,4	88,0	78,8	30,0	30,0	30,0	15,0	N/A
Bahrain	2002	75,6	85,0	76,6	99,3	74,8	84,3	50,0	80,0	60,0	70,0	N/A
"Bangladesh "	2002	51,9	40,0	50,6	77,3	93,3	72,7	50,0	30,0	30,0	23,0	N/A
Barbados	2002	73,6	85,0	66,8	59,0	65,3	86,3	70,0	70,0	90,0	70,0	N/A
Belarus	2002	39,0	40,0	75,4	68,2	36,5	0,0	30,0	30,0	30,0	41,0	N/A
Belgium	2002	67,6	70,0	79,6	33,7	28,0	86,0	90,0	70,0	90,0	61,0	N/A
Belize	2002	65,6	70,0	66,8	84,5	74,8	94,0	50,0	50,0	50,0	50,0	N/A
Benin	2002	57,3	55,0	61,0	71,4	90,3	78,3	50,0	50,0	30,0	30,0	N/A
Bhutan	2002	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Bolivia	2002	65,1	55,0	74,2	88,7	69,3	81,9	90,0	70,0	30,0	27,0	N/A
Bosnia and Herzegovina	2002	37,4	40,0	72,6	66,8	0,0	77,2	30,0	30,0	10,0	10,0	N/A
Botswana	2002	66,2	70,0	61,0	73,1	44,5	76,9	70,0	70,0	70,0	60,0	N/A
Brazil	2002	61,5	70,0	58,0	86,3	71,2	79,3	50,0	50,0	50,0	39,0	N/A
Bulgaria	2002	57,1	55,0	60,2	68,3	49,6	75,8	70,0	50,0	50,0	35,0	N/A
Burkina Faso	2002	58,8	55,0	61,0	65,9	78,1	89,4	70,0	50,0	30,0	30,0	N/A
Burma	2002	45,5	40,0	69,0	74,9	95,7	69,6	10,0	30,0	10,0	10,0	N/A
Burundi	2002	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cambodia	2002	60,7	55,0	67,0	91,3	91,3	81,6	50,0	50,0	30,0	30,0	N/A
Cameroon	2002	52,8	55,0	48,2	50,4	89,2	82,0	50,0	50,0	30,0	20,0	N/A
Canada	2002	74,6	85,0	78,6	71,1	49,6	85,4	50,0	70,0	90,0	92,0	N/A
Cape Verde	2002	57,6	70,0	46,8	64,5	49,6	87,2	70,0	50,0	50,0	30,0	N/A
Central African Republic	2002	59,8	55,0	48,2	65,3	88,0	82,0	70,0	50,0	50,0	30,0	N/A
Chad	2002	49,2	55,0	48,2	45,9	89,2	84,1	30,0	50,0	30,0	10,0	N/A
Chile	2002	77,8	85,0	71,4	74,0	82,7	82,7	70,0	70,0	90,0	74,0	N/A
China	2002	52,8	55,0	48,6	70,3	92,3	87,6	30,0	30,0	30,0	31,0	N/A
Colombia	2002	64,2	70,0	69,8	72,6	89,2	74,5	70,0	70,0	30,0	32,0	N/A
Comoros	2002	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
"Costa Rica "	2002	67,5	70,0	71,0	83,3	85,5	74,2	70,0	50,0	50,0	54,0	N/A
"Côte d'Ivoire "	2002	57,3	55,0	61,0	52,2	85,5	85,4	50,0	70,0	30,0	27,0	N/A
Croatia	2002	51,1	55,0	68,8	68,3	25,0	75,7	50,0	50,0	30,0	37,0	N/A
Cuba	2002	32,4	40,0	60,6	46,5	12,5	72,0	30,0	10,0	10,0	10,0	N/A
Cyprus	2002	73,0	85,0	78,8	71,2	58,9	83,5	50,0	70,0	90,0	70,0	N/A
Czech Republic	2002	66,5	70,0	73,0	66,8	33,7	82,2	70,0	90,0	70,0	43,0	N/A
Democratic Republic of Congo	2002	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Denmark	2002	71,1	85,0	79,6	32,2	5,9	89,6	70,0	90,0	90,0	98,0	N/A
Djibouti	2002	57,8	55,0	51,0	78,8	67,3	87,8	50,0	50,0	50,0	30,0	N/A
Dominica	2002	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Dominican Republic	2002	58,6	55,0	60,8	85,3	93,3	73,1	50,0	50,0	30,0	30,0	N/A
Ecuador	2002	53,1	55,0	62,4	86,7	84,1	33,4	70,0	30,0	30,0	26,0	N/A
Egypt	2002	54,1	55,0	55,0	65,6	71,2	79,2	50,0	30,0	50,0	31,0	N/A
"El Salvador "	2002	73,0	85,0	77,4	83,7	93,3	86,3	70,0	70,0	50,0	41,0	N/A
Equatorial Guinea	2002	46,4	55,0	48,2	89,6	92,3	72,3	30,0	10,0	10,0	10,0	N/A
Eritrea	2002	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Estonia	2002	77,6	85,0	85,0	80,0	54,4	87,0	90,0	90,0	70,0	57,0	N/A
Ethiopia	2002	49,8	55,0	50,0	70,3	71,2	79,7	30,0	30,0	30,0	32,0	N/A
Fiji	2002	53,9	70,0	46,2	70,9	76,5	81,7	30,0	50,0	30,0	30,0	N/A
Finland	2002	73,6	85,0	79,6	55,6	28,0	84,6	70,0	70,0	90,0	100,0	N/A
France	2002	58,0	70,0	79,6	37,2	15,7	82,7	50,0	50,0	70,0	67,0	N/A
Gabon	2002	58,0	55,0	48,2	53,2	76,5	89,5	50,0	50,0	50,0	50,0	N/A
Georgia	2002	56,7	55,0	79,2	90,7	85,5	67,4	50,0	30,0	30,0	23,0	N/A
Germany	2002	70,4	70,0	79,6	53,3	36,5	88,0	90,0	50,0	90,0	76,0	N/A
Ghana	2002	57,2	55,0	55,6	73,3	79,7	65,9	50,0	50,0	50,0	35,0	N/A
Greece	2002	59,1	70,0	79,6	50,1	54,4	78,7	50,0	50,0	50,0	49,0	N/A
"Guatemala "	2002	62,3	55,0	73,6	79,8	95,7	74,7	50,0	70,0	30,0	32,0	N/A
Guinea	2002	52,9	55,0	28,0	71,3	92,3	74,4	50,0	50,0	30,0	25,0	N/A
Guinea-Bissau	2002	42,3	40,0	61,0	65,1	79,7	74,6	30,0	10,0	10,0	10,0	N/A
Guyana	2002	54,3	55,0	66,8	60,9	47,1	79,1	50,0	50,0	50,0	30,0	N/A
Haiti	2002	47,9	40,0	68,8	78,3	95,7	67,9	30,0	30,0	10,0	10,0	N/A
"Honduras "	2002	58,7	55,0	69,8	84,4	82,7	68,6	50,0	50,0	50,0	18,0	N/A
Hong Kong	2002	89,4	100,0	90,0	93,8	90,3	83,7	90,0	90,0	90,0	77,0	N/A
"Hungary "	2002	64,5	70,0	80,0	65,5	28,0	74,7	70,0	70,0	70,0	52,0	N/A
Iceland	2002	73,1	85,0	82,2	63,1	44,5	81,7	70,0	50,0	90,0	91,0	N/A
India	2002	51,2	55,0	21,8	76,7	78,1	70,8	50,0	30,0	50,0	28,0	N/A
Indonesia	2002	54,8	55,0	72,6	79,4	86,8	72,4	50,0	30,0	30,0	17,0	N/A
Iran	2002	36,4	40,0	47,2	40,9	79,7	59,5	30,0	10,0	10,0	10,0	N/A
Iraq	2002	15,6	40,0	40,0	10,0	10,2	0,0	10,0	10,0	10,0	10,0	N/A
Ireland	2002	80,5	85,0	79,6	66,5	69,3	81,8	90,0	90,0	90,0	72,0	N/A
Israel	2002	66,9	70,0	83,0	54,8	33,7	85,0	90,0	50,0	70,0	66,0	N/A
Italy	2002	63,6	70,0	79,6	48,0	33,7	85,5	70,0	70,0	70,0	46,0	N/A
"Jamaica "	2002	61,7	70,0	66,8	76,1	56,7	77,4	90,0	30,0	50,0	38,0	N/A
Japan	2002	66,7	70,0	80,4	70,7	54,4	90,6	50,0	50,0	70,0	64,0	N/A
Jordan	2002	66,2	70,0	61,4	76,4	63,3	89,0	70,0	70,0	50,0	46,0	N/A
Kazakhstan	2002	52,4	55,0	65,0	79,3	84,1	68,6	30,0	30,0	30,0	30,0	N/A
Kenya	2002	58,2	55,0	65,0	77,9	78,1	76,4	50,0	50,0	50,0	21,0	N/A
Kiribati	2002	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Kuwait	2002	65,4	70,0	76,8	99,9	41,9	80,2	30,0	50,0	70,0	70,0	N/A
"Kyrgyz Republic "	2002	51,7	55,0	65,0	72,5	61,1	60,0	50,0	50,0	30,0	22,0	N/A
Laos	2002	36,8	40,0	55,6	66,4	91,3	38,1	10,0	10,0	10,0	10,0	N/A
Latvia	2002	65,0	70,0	80,0	76,8	49,6	84,4	70,0	70,0	50,0	34,0	N/A
Lebanon	2002	57,1	55,0	53,4	92,0	61,1	92,3	50,0	70,0	30,0	10,0	N/A
Lesotho	2002	48,9	55,0	61,0	64,7	5,9	73,4	50,0	50,0	50,0	30,0	N/A
Liberia	2002	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Libya	2002	35,4	40,0	49,0	51,3	64,7	73,8	10,0	10,0	10,0	10,0	N/A
Liechtenstein	2002	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Lithuania	2002	66,1	70,0	82,8	74,1	69,3	87,7	70,0	50,0	50,0	41,0	N/A
Luxembourg	2002	79,4	85,0	79,6	56,8	52,0	85,2	90,0	90,0	90,0	86,0	N/A
Macau	2002	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Macedonia	2002	58,0	55,0	63,0	81,0	63,3	77,2	50,0	70,0	30,0	33,0	N/A
Madagascar	2002	56,8	70,0	22,4	74,3	90,3	74,0	50,0	50,0	50,0	30,0	N/A
Malawi	2002	56,9	55,0	65,0	73,0	74,8	53,5	50,0	50,0	50,0	41,0	N/A
"Malaysia "	2002	60,1	70,0	66,6	81,5	84,1	80,7	30,0	30,0	50,0	48,0	N/A
Maldives	2002	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Mali	2002	61,1	70,0	61,0	69,8	82,7	86,0	70,0	50,0	50,0	10,0	N/A
Malta	2002	62,2	70,0	75,4	64,6	30,9	79,1	50,0	70,0	90,0	30,0	N/A
Mauritania	2002	52,5	55,0	29,0	51,3	79,7	77,5	70,0	50,0	30,0	30,0	N/A
Mauritius	2002	67,7	70,0	62,8	84,2	84,1	70,7	50,0	70,0	70,0	47,0	N/A
Mexico	2002	63,0	55,0	81,2	68,8	85,5	73,2	50,0	70,0	50,0	33,0	N/A
Micronesia	2002	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Moldova	2002	57,4	55,0	76,0	78,2	76,5	54,7	50,0	50,0	50,0	26,0	N/A
Mongolia	2002	56,7	55,0	71,0	64,1	54,4	72,5	50,0	50,0	50,0	43,0	N/A
Montenegro	2002	46,6	40,0	88,4	89,8	74,8	46,8	10,0	30,0	30,0	10,0	N/A
Morocco	2002	59,0	70,0	46,0	62,3	69,3	86,8	70,0	50,0	30,0	47,0	N/A
"Mozambique "	2002	57,7	55,0	57,4	82,5	81,3	70,8	70,0	50,0	30,0	22,0	N/A
Namibia	2002	65,1	70,0	61,0	65,6	69,3	76,2	70,0	50,0	70,0	54,0	N/A
Nepal	2002	52,3	55,0	64,2	84,0	89,2	78,2	30,0	30,0	30,0	10,0	N/A
New Zealand	2002	80,7	85,0	78,4	62,5	49,6	86,5	90,0	90,0	90,0	94,0	N/A
"Nicaragua "	2002	61,1	55,0	63,2	81,3	81,3	68,5	70,0	70,0	30,0	31,0	N/A
Niger	2002	48,2	55,0	61,0	45,8	90,3	81,6	30,0	30,0	30,0	10,0	N/A
Nigeria	2002	50,9	55,0	45,0	84,2	74,8	77,1	50,0	30,0	30,0	12,0	N/A
North Korea	2002	8,9	40,0	0,0	0,0	0,0	0,0	10,0	10,0	10,0	10,0	N/A
Norway	2002	67,4	70,0	82,8	51,1	41,9	79,3	50,0	50,0	90,0	91,0	N/A
Oman	2002	64,0	70,0	75,4	98,5	47,1	84,7	30,0	50,0	50,0	70,0	N/A
"Pakistan "	2002	55,8	55,0	59,0	73,8	85,5	76,6	50,0	50,0	30,0	22,0	N/A
"Panama "	2002	68,5	70,0	61,0	80,9	76,5	87,8	70,0	90,0	30,0	50,0	N/A
